"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"24","Chase",5344.50048828125,5344.50048828125,5317.6865234375,5278.36083984375,3125.59594726562,3125.59594726562,6271.4755859375,6431.57470703125,35945.2674837753,14.8684398876531,14.8684398876531,14.793843239135,14.6844388965147,8.69543104297786,8.69543104297786,17.4472914654711,17.8926884044868
"25","Asitka",0,0,0,0,0,0,0,0,0.0186952787116616,0,0,0,0,0,0,0,0
"26","Aiken",6343.974609375,6343.974609375,6323.44775390625,6533.1376953125,9074.8701171875,10930.8310546875,12800.1201171875,15756.14453125,38465.9292246265,16.492451208779,16.492451208779,16.4390874765554,16.9842190920735,23.5919690492687,28.4169166715187,33.2765134632251,40.9612996458244
"27","Nabesche",31983.5344238281,31826.2868347168,42169.3197937012,54742.2090454102,57557.6611938477,67031.0098266602,73647.5303344727,82370.6797485352,151936.050568298,21.0506553936328,20.9471594895842,27.7546504835238,36.0297696568086,37.8828204225135,44.1179098547967,48.4727160269094,54.2140456069759
"28","Schooler",15215.08203125,16203.189453125,16278.9418945312,21458.7583007812,34750.833984375,42698.333984375,44945.0458984375,45962.474609375,65861.1620933018,23.101751544705,24.6020400158911,24.7170583954619,32.581809398355,52.7637728820294,64.8308238531938,68.2421088087792,69.7869171276731
"29","Tutizza",5022.76806640625,5024.76806640625,4700.76806640625,14140.8818359375,15631.5458984375,16054.69921875,16711.41015625,18196.46875,49375.9973817152,10.17248933237,10.1765398834597,9.52035060692674,28.639182165005,31.6581876363801,32.5151897077331,33.8452103094905,36.8528631620887
"30","Omineca",15039.8173538736,14723.8085648111,15727.5481888346,17236.7356888346,15015.8866360714,15343.5370266964,15855.5145657589,25242.7152170215,127170.013675979,11.8265437890053,11.5780506262478,12.3673401725877,13.55408809875,11.8077258954543,12.0653734187611,12.4679663919497,19.8495812710521
"31","Wicked River",2609.37261962891,2749.79425048828,2730.89459228516,2893.13067626953,4330.87789916992,7294.48809814453,12564.3098144531,23162.7219238281,60609.6312972154,4.30521117482658,4.5368932158718,4.50571061700324,4.77338438520158,7.14552754484235,12.0351962914509,20.7298898632805,38.216239610902
"32","Osilinka",99505.685546875,101713.673828125,101408.4765625,113120.55078125,124648.345703125,130046.14453125,135177.90625,147356.2578125,230036.705009002,43.2564383770759,44.2162801037098,44.0836068133264,49.1750004751734,54.1862854878951,56.5327800735803,58.7636248070541,64.057715400998
"33","Ominicetla",0,0,0,0,0.00186965104654391,0.00186965104654391,0.00186965104654391,0.00615603499753714,0.0468305696667611,0,0,0,0,3.99237305855566,3.99237305855566,3.99237305855566,13.1453344286489
