"herd_hab","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Graham_HESR",8751.1533203125,9517.333984375,11554.572265625,17953.509765625,19692.162109375,22098.9375,25124.13671875,31037.654296875,107635.57459711,8.13035407026805,8.84218254048377,10.7349008995166,16.6799033059718,18.2952171557449,20.5312579811261,23.3418521829721,28.8358699371021
"2","Graham_HEWSR",5887.77734375,5530.3203125,5540.9580078125,7904.46337890625,10958.0361328125,13091.9736328125,13143.5517578125,13511.4072265625,22280.8354737927,26.4252987760506,24.8209736973504,24.8687173976484,35.476512486274,49.1814418076989,58.7588990916055,58.9903900743411,60.6413850255075
"3","Graham_Matrix",70859.046875,71295.53125,83254.1171875,102605.328125,122841.7421875,149276.390625,162762.0625,190157.796875,283002.166890829,25.0383407496433,25.1925743301827,29.418190716404,36.256022083598,43.4066436794766,52.747437330607,57.5126559235099,67.1930533126819
"4","Moberly_HESR",997.196716308594,2600.07666015625,2905.3095703125,2958.13989257812,2941.07739257812,3008.08471679688,3016.38525390625,6679.17431640625,16366.5734909917,6.09288631403183,15.8865058809491,17.7514833627919,18.0742773935321,17.9700252725283,18.3794409896033,18.4301573910171,40.8098513722651
"5","Moberly_HEWR",2857.21655273438,3521.03588867188,6836.17138671875,7426.9111328125,7694.7548828125,7993.28564453125,8644.36328125,13858.220703125,22395.1030488294,12.7582201631518,15.7223473408216,30.5252955157806,33.1631031865277,34.3590956738854,35.6921137049605,38.5993458587897,61.8805846658044
"6","Moberly_HEWSR",5230.35498046875,6234.82763671875,11838.5771484375,12633.8251953125,14325.572265625,15368.318359375,16337.681640625,28789.357421875,104883.634801295,4.98681704765265,5.94451903629272,11.287344465956,12.0455638472557,13.6585390969384,14.6527324195911,15.5769598103433,27.4488555592273
"7","Moberly_Matrix",99613.96875,112087.6015625,124581.140625,128040.0625,133574.59375,135378.828125,137309.03125,160056.875,177775.341981896,56.0336251582879,63.0501397510542,70.0778517628654,72.023521975865,75.1367384592644,76.1516342006455,77.2373883347574,90.0332257644031
"8","Chase_None",316571.34375,319849.28125,316348.125,351060.65625,345037.8125,379118.6875,406990.09375,486288.84375,935302.052494197,33.8469634387939,34.1974317705226,33.8230974856075,37.5344687113448,36.8905223269721,40.5343585517634,43.5142949451108,51.992705720382
"9","Finlay_None",129281.609375,115329.6015625,144014.171875,151130.75,167743.140625,202004.09375,225837.484375,297536.625,803508.810961704,16.089631826223,14.353246658797,17.9231602578984,18.8088478854531,20.8763287143338,25.1402462542041,28.1064104455432,37.029665504711
"10","Frog_None",22462.76171875,27694.6953125,23591.171875,20837.171875,16326.1708984375,16326.39453125,16326.39453125,16326.39453125,503003.058213628,4.46573064556,5.50587016525413,4.69006529677613,4.14255371508106,3.24573988802742,3.24578434756079,3.24578434756079,3.24578434756079
