"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"28",16727,0,0,0,0,0,0,0,0,5713.88193019465,0,0,0,0,0,0,0,0
"29",16728,0,0,0,0,0,0,0,0,5349.31398625027,0,0,0,0,0,0,0,0
"30",16729,0,0,0,0,0,0,0,0,2833.83677118261,0,0,0,0,0,0,0,0
"31",16730,0,0,0,0,0,0,0,0,4578.13961563966,0,0,0,0,0,0,0,0
"32",16731,0,0,0,0,0,0,0,0,3660.21273861121,0,0,0,0,0,0,0,0
"33",16732,0,0,0,0,0,0,0,0,4213.28994298128,0,0,0,0,0,0,0,0
"34",16733,0,0,0,0,0,0,0,0,5552.35269766903,0,0,0,0,0,0,0,0
"35",16735,0,0,0,0,0,0,0,0,2460.20422751629,0,0,0,0,0,0,0,0
"36",16736,0,0,0,0,0,0,0,0,2003.37787752695,0,0,0,0,0,0,0,0
"37",16734,0,0,0,0,0,0,0,0,2109.86011233745,0,0,0,0,0,0,0,0
"38",16737,0,0,0,0,0,0,0,0,5886.34709662002,0,0,0,0,0,0,0,0
"39",16738,0,0,0,0,0,0,0,0,2488.43697081082,0,0,0,0,0,0,0,0
"40",16739,0,0,0,0,0,0,0,0,4570.15622873011,0,0,0,0,0,0,0,0
"41",16740,0,0,0,0,0,0,0,0,7826.68448277873,0,0,0,0,0,0,0,0
"42",16741,0,0,0,0,0,0,0,0,2899.11839183831,0,0,0,0,0,0,0,0
"43",16742,0,0,0,0,0,0,0,0,3026.04794179071,0,0,0,0,0,0,0,0
"44",16743,0,0,0,0,0,0,0,0,6476.46200649374,0,0,0,0,0,0,0,0
"45",16744,0,0,0,0,0,0,0,0,4642.84885675367,0,0,0,0,0,0,0,0
"46",16746,0,0,0,0,0,0,0,0,115.420465365632,0,0,0,0,0,0,0,0
"47",16751,0,0,0,0,0,0,0,0,8205.25452332324,0,0,0,0,0,0,0,0
"48",16752,0,0,0,0,0,0,0,0,29.6133659515757,0,0,0,0,0,0,0,0
"49",16753,0,0,0,0,0,0,0,0,3929.48469491761,0,0,0,0,0,0,0,0
"50",16762,121.152290344238,121.152290344238,121.152290344238,121.152290344238,121.152290344238,121.152290344238,121.152290344238,121.152290344238,483.673809573351,25.0483462090095,25.0483462090095,25.0483462090095,25.0483462090095,25.0483462090095,25.0483462090095,25.0483462090095,25.0483462090095
"51",13371,0,0,0,0,0,0,0,0,2.30649414753662,0,0,0,0,0,0,0,0
"52",13372,0,0,0,0,0,0,0,0,1.93621633023153,0,0,0,0,0,0,0,0
"53",13378,0,0,0,0,0,0,0,0,0.196877927703955,0,0,0,0,0,0,0,0
"54",13379,0,0,0,0,0,0,0,0,4.9465200447861,0,0,0,0,0,0,0,0
"55",16548,0,0,0,0,0,0,0,0,5.35045467331007,0,0,0,0,0,0,0,0
"56",16691,468.558685302734,468.558685302734,468.558685302734,438.836608886719,438.836608886719,438.836608886719,438.836608886719,438.836608886719,5407.91261230938,8.66431687960732,8.66431687960732,8.66431687960732,8.11471339029865,8.11471339029865,8.11471339029865,8.11471339029865,8.11471339029865
"57",16466,0,0,0,0,0,0,0,0,0.0074932853045786,0,0,0,0,0,0,0,0
"58",16468,0,0,0,0,0,0,0,0,10.6169943516811,0,0,0,0,0,0,0,0
"59",16692,0,0,0,0,0,0,0,0,2445.8978354046,0,0,0,0,0,0,0,0
"60",16693,1018.42584228516,1018.42584228516,960.044738769531,944.265014648438,944.265014648438,944.265014648438,944.265014648438,944.265014648438,2560.5060090745,39.774397664986,39.774397664986,37.4943364853317,36.8780628243768,36.8780628243768,36.8780628243768,36.8780628243768,36.8780628243768
"61",16695,123.73998260498,123.73998260498,123.73998260498,123.73998260498,0,0,0,0,2403.39106429005,5.14855798723429,5.14855798723429,5.14855798723429,5.14855798723429,0,0,0,0
"62",16696,103.716690063477,103.716690063477,103.716690063477,103.716690063477,0,0,0,0,2582.36825867994,4.0163400287647,4.0163400287647,4.0163400287647,4.0163400287647,0,0,0,0
"63",16698,1497.345703125,1497.345703125,1497.345703125,1497.345703125,0,0,0,0,4701.99562063668,31.8448978674772,31.8448978674772,31.8448978674772,31.8448978674772,0,0,0,0
"64",16697,1233.22937011719,1233.22937011719,1233.22937011719,1141.19580078125,0,0,0,0,2345.79694054391,52.5718722197346,52.5718722197346,52.5718722197346,48.6485330872947,0,0,0,0
"65",16700,14.8390274047852,14.8390274047852,0.839027583599091,0,0,0,0,0,3278.77235514807,0.452578764167207,0.452578764167207,0.0255896870144618,0,0,0,0,0
"66",16701,0,0,0,0,0,0,0,0,3100.03616090029,0,0,0,0,0,0,0,0
"67",16702,0,0,0,0,0,0,0,0,6588.19024314018,0,0,0,0,0,0,0,0
"68",16704,0,0,0,0,0,0,0,0,2747.74688590606,0,0,0,0,0,0,0,0
"69",16703,0,0,0,0,0,0,0,0,3475.47259560126,0,0,0,0,0,0,0,0
"70",16705,0,0,0,0,0,0,0,0,4946.9036383534,0,0,0,0,0,0,0,0
"71",16706,0,0,0,0,0,0,0,0,3823.44587601166,0,0,0,0,0,0,0,0
"72",16707,2434.7236328125,2434.7236328125,2434.7236328125,2434.7236328125,0,0,0,0,6850.91272776233,35.5386753497258,35.5386753497258,35.5386753497258,35.5386753497258,0,0,0,0
"73",16708,0,0,0,0,0,0,0,0,8196.92174398089,0,0,0,0,0,0,0,0
"74",16715,0,0,0,0,0,0,0,0,6869.42399325079,0,0,0,0,0,0,0,0
"75",16717,162.140701293945,162.140701293945,0,0,0,0,0,0,2969.47856616408,5.46024150978788,5.46024150978788,0,0,0,0,0,0
"76",16716,0,0,0,0,0,0,0,0,2842.39968435023,0,0,0,0,0,0,0,0
"77",16718,0,0,0,0,0,0,0,0,5513.24044426029,0,0,0,0,0,0,0,0
"78",16719,0,0,0,0,0,0,0,0,2059.01003307596,0,0,0,0,0,0,0,0
"79",16720,0,0,0,0,0,0,0,0,2302.69978491269,0,0,0,0,0,0,0,0
"80",16721,0,0,0,0,0,0,0,0,2739.9534056198,0,0,0,0,0,0,0,0
"81",16722,0,0,0,0,0,0,0,0,2878.80945324785,0,0,0,0,0,0,0,0
"82",16723,0,0,0,0,0,0,0,0,2860.19888367124,0,0,0,0,0,0,0,0
"83",16724,0,0,0,0,0,0,0,0,2350.38817992378,0,0,0,0,0,0,0,0
"84",16725,0,0,0,0,0,0,0,0,2300.99721611008,0,0,0,0,0,0,0,0
"85",10379,3627.802734375,3545.39184570312,3796.02490234375,3888.63452148438,3176.98583984375,3180.52685546875,3180.52685546875,3219.52685546875,6311.35268786137,57.4805895628739,56.1748332100341,60.1459796351525,61.6133294050163,50.3376375393194,50.3937430336584,50.3937430336584,51.0116771268522
