"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"27","Nabesche",31983.5344238281,39493.0972290039,44468.4788208008,47273.521484375,45685.2412109375,49148.51171875,49842.1499023438,50333.3627929688,151936.050568298,21.0506553936328,25.9932366816728,29.2678917574018,31.1140912953537,30.0687302585907,32.3481566981082,32.8046896808988,33.1279920760761
"28","Schooler",15215.08203125,16235.0593261719,18987.40234375,22480.3247070312,32069.8251953125,36474.798828125,37116.27734375,38218.2836914062,65861.1620933018,23.101751544705,24.6504294946581,28.8294371679194,34.1329001683642,48.6930752146173,55.3813471685379,56.3553331949555,58.0285595891317
"29","Tutizza",5022.76806640625,5022.76806640625,4902.76806640625,5526.626953125,6130.89697265625,6544.55810546875,7226.55810546875,7327.55810546875,49375.9973817152,10.17248933237,10.17248933237,9.9294562669874,11.1929424136992,12.4167557067447,13.2545334828868,14.6357714044777,14.8403242345081
"30","Omineca",15039.8173538736,14928.0804153971,15318.8919388346,16171.8138138346,13212.2268997721,13702.6985794596,13829.9759232096,13922.7405716471,127170.013675979,11.8265437890053,11.7386795706674,12.0459937811017,12.7166879568318,10.3894200510475,10.7751019154352,10.8751863143205,10.9481316933104
"31","Wicked River",2609.37261962891,2406.31298828125,2442.15161132812,2442.15161132812,144.151659250259,144.622286081314,190.302721261978,190.939501047134,60609.6312972154,4.30521117482658,3.97018252178644,4.02931276607242,4.02931276607242,0.237836225307779,0.238612713831108,0.313980991451306,0.315031616197782
"32","Osilinka",99505.685546875,99531.833984375,100399.515625,102881.7578125,98425.072265625,100412.9375,100836.326171875,101834.052734375,230036.705009002,43.2564383770759,43.2678054489086,43.6449981410884,44.7240616702773,42.7866814827543,43.6508328077775,43.8348854666167,44.2686104073651
"33","Ominicetla",0,0,0,0,0,0,0,0,0.0468305696667611,0,0,0,0,0,0,0,0
"34","Blackwater",132525.789216995,135675.77163887,143650.02163887,151791.80679512,155458.98648262,156522.10367012,157311.44351387,157593.44351387,166520.184646229,79.5854205293765,81.4770725405529,86.2658313429415,91.1551996639935,93.3574430108231,93.9958744356732,94.4698949548235,94.6392437941844
"35","Selwyn",14179.0971679688,14589.5197753906,15244.0652821064,16364.4542672336,16561.2426393032,17482.5850160122,19568.5910692215,20434.7368392944,56160.6098785315,25.2474059641382,25.9782075140316,27.1436961156181,29.1386690825258,29.489071922693,31.1296210169813,34.8439789232096,36.3862445288473
"36","Clearwater",27540.8943634033,27135.3894805908,26925.1820602417,27618.1552505493,29244.3443222046,30103.9948425293,31513.1004943848,32925.6208267212,109885.648690944,25.0632313605053,24.6942069358936,24.5029104173279,25.1335416221877,26.6134337564453,27.3957474894629,28.678085691623,29.9635313791752
